3,6,9,17,56
20,54,56,61,64
1,21,31,45,49
17,23,26,46,68
23,25,37,44,64
23,28,41,53,56
6,10,15,25,36
13,20,38,45,55
9,45,57,58,65
4,14,23,27,56
16,29,43,45,56
7,28,37,62,63
3,9,20,42,61
4,7,15,41,44
1,10,43,45,64
19,21,27,46,47
22,41,42,49,67
1,10,27,28,36
